ID;PDF_NAME;PAGE_NUM;YEAR;SCOPE_TYPE;VALUE;UNIT
1;shell_sustainability_report_2019.pdf;88;2019;Direct GHG emissions (Scope 1);70;million tonnes CO2 equivalent
2;shell_sustainability_report_2019.pdf;88;2018;Direct GHG emissions (Scope 1);71;million tonnes CO2 equivalent
3;shell_sustainability_report_2019.pdf;88;2017;Direct GHG emissions (Scope 1);73;million tonnes CO2 equivalent
4;shell_sustainability_report_2019.pdf;88;2016;Direct GHG emissions (Scope 1);70;million tonnes CO2 equivalent
5;shell_sustainability_report_2019.pdf;88;2015;Direct GHG emissions (Scope 1);70;million tonnes CO2 equivalent
6;shell_sustainability_report_2019.pdf;88;2019;Energy indirect GHG emissions (Scope 2);10;million tonnes CO2 equivalent
7;shell_sustainability_report_2019.pdf;88;2018;Energy indirect GHG emissions (Scope 2;11;million tonnes CO2 equivalent
8;shell_sustainability_report_2019.pdf;88;2017;Energy indirect GHG emissions (Scope 2);12;million tonnes CO2 equivalent
9;shell_sustainability_report_2019.pdf;88;2016;Energy indirect GHG emissions (Scope 2);11;million tonnes CO2 equivalent
10;shell_sustainability_report_2019.pdf;88;2015;Energy indirect GHG emissions (Scope 2);9;million tonnes CO2 equivalent
11;shell_sustainability_report_2019.pdf;88;2019;Scope 3;576;million tonnes CO2 equivalent
12;shell_sustainability_report_2019.pdf;88;2018;Scope 3;599;million tonnes CO2 equivalent
13;shell_sustainability_report_2019.pdf;88;2017;Scope 3;579;million tonnes CO2 equivalent
14;shell_sustainability_report_2019.pdf;88;2016;Scope 3;600;million tonnes CO2 equivalent
15;shell_sustainability_report_2019.pdf;88;2015;Scope 3;560;million tonnes CO2 equivalent
